Topic,Date Range,Title,First Author,Last Author,Summary,PDF
,,Inverse spectral analysis for a class of finite band symmetric matrices,Mikhail Kudryavtsev,Luis O. Silva,"In this note, we solve an inverse spectral problem for a class of finite band symmetric matrices. We provide necessary and sufficient conditions for a matrix valued function to be a spectral function of the operator corresponding to a matrix in our class and give an algorithm for recovering this matrix from the spectral function. The reconstructive algorithm is applicable to matrices which cannot…                     In this note, we solve an inverse spectral problem for a class of finite band symmetric matrices. We provide necessary and sufficient conditions for a matrix valued function to be a spectral function of the operator corresponding to a matrix in our class and give an algorithm for recovering this matrix from the spectral function. The reconstructive algorithm is applicable to matrices which cannot be treated by known inverse block matrix methods. Our approach to the inverse problem is based on the rational interpolation theory developed in a previous paper.",https://arxiv.org/pdf/1409.3868
,,Stability of determinacy and inverse spectral problems for Jacobi operators,Rafael del Rio,Luis O. Silva,"This work studies the interplay between Green functions, the index of determinacy of spectral measures and interior finite rank perturbations of Jacobi operators. The index of determinacy quantifies the stability of uniqueness of solutions of the moment problem. We give results on the constancy of this index in terms of perturbations of the corresponding Jacobi operators. The permanence of the…                     This work studies the interplay between Green functions, the index of determinacy of spectral measures and interior finite rank perturbations of Jacobi operators. The index of determinacy quantifies the stability of uniqueness of solutions of the moment problem. We give results on the constancy of this index in terms of perturbations of the corresponding Jacobi operators. The permanence of the $N$-extremality of a measure is also studied. A measure $μ$ is $N$-extremal when the polynomials are dense in $L_2(\mathbb{R},μ)$. As a by-product, we give a characterization of the index in terms of cyclic vectors. We consider a new inverse problem for Jacobi operators in which information on the place where the interior perturbation occurs is obtained from the index of determinacy.",https://arxiv.org/pdf/1610.01699
,,Relativistic coupled-cluster analysis of parity nonconserving amplitudes and related properties of the $6s ~ ^2S_{1/2} - 5d ~ ^2D_{3/2;5/2}$ transitions in $^{133}$Cs,B. K. Sahoo,B. P. Das,We present the results of our calculations of the parity nonconserving electric dipole amplitudes ($E1_{PNC}$) for the $6s ~ ^2S_{1/2} - 5d ~ ^2D_{3/2;5/2}$ transitions of $^{133}$Cs employing a relativistic coupled-cluster (RCC) method. $E1_{PNC}$ values for the nuclear spin independent (NSI) and nuclear spin dependent (NSD) parity non-conservation (PNC) effects for different hyperfine levels of…                     We present the results of our calculations of the parity nonconserving electric dipole amplitudes ($E1_{PNC}$) for the $6s ~ ^2S_{1/2} - 5d ~ ^2D_{3/2;5/2}$ transitions of $^{133}$Cs employing a relativistic coupled-cluster (RCC) method. $E1_{PNC}$ values for the nuclear spin independent (NSI) and nuclear spin dependent (NSD) parity non-conservation (PNC) effects for different hyperfine levels of the $6s ~ ^2S_{1/2} - 5d ~ ^2D_{3/2}$ transition and only due to the NSD PNC interaction Hamiltonian for all possible hyperfine levels of the $6s ~ ^2S_{1/2} - 5d ~ ^2D_{5/2}$ transition are given. We have also performed calculations of several properties that are relevant for assessing the reliability of the calculations of the amplitudes of the above mentioned transitions. We highlight the importance of correlation effects by giving the results of both the Dirac-Fock (DF) and RCC contributions. Approximate contributions to these properties from the Breit and quantum electrodynamics (QED) interactions have also been evaluated. Plausible experimental schemes to measure these transition amplitudes by light shift techniques and interference involving induced Stark shifts are outlined.,https://arxiv.org/pdf/1704.04340
,,Integrated All-Optical Fast Fourier Transform: Design and Sensitivity Analysis,Hani Nejadriahi,Volker J. Sorger,"The fast Fourier transform, FFT, is a useful and prevalent algorithm in signal processing. It characterizes the spectral components of a signal, or is used in combination with other operations to perform more complex computations such as filtering, convolution, and correlation. Digital FFTs are limited in speed by the necessity of moving charge within logic gates. An analog temporal FFT in fiber o…                     The fast Fourier transform, FFT, is a useful and prevalent algorithm in signal processing. It characterizes the spectral components of a signal, or is used in combination with other operations to perform more complex computations such as filtering, convolution, and correlation. Digital FFTs are limited in speed by the necessity of moving charge within logic gates. An analog temporal FFT in fiber optics has been demonstrated with highest data bandwidth. However, the implementation with discrete fiber optic FFT components is bulky. Here, we present and analyze a design of an optical FFT in Silicon photonics and evaluate its performance with respect to variations in phase and amplitude. We discuss the impact of the deployed devices on the FFTs transfer function quality as defined by the transmission output power as a function of frequency, detuning phase, optical delay, and loss.",https://arxiv.org/pdf/1711.02500
,,Searches for supersymmetry,Andrea Ventura,Andrea Ventura,"New and recent results on Supersymmetry searches are shown for the ATLAS and the CMS experiments. Analyses with about 36 fb$^{-1}$ are considered for searches concerning light squarks and gluinos, direct pair production of 3$^{rd}$ generation squarks, electroweak production of charginos, neutralinos, sleptons, R-parity violating scenarios and long-lived particles.                          New and recent results on Supersymmetry searches are shown for the ATLAS and the CMS experiments. Analyses with about 36 fb$^{-1}$ are considered for searches concerning light squarks and gluinos, direct pair production of 3$^{rd}$ generation squarks, electroweak production of charginos, neutralinos, sleptons, R-parity violating scenarios and long-lived particles.",https://arxiv.org/pdf/1711.00152
,,Pseudo-Magnetic Quantum Hall Effect In Oscillating Graphene,Anita Bhagat,Kieran Mullen,"When a graphene layer is stressed, the strain alters the phase an electron accumulates hopping between sites in a way that can be modeled as arising from a pseudo-magnetic vector potential. We examine the case of an oscillating graphene ribbon and explore a new effect - an oscillating resistance arising from an oscillating quantum Hall effect. This pseudo-magneto-resistance is large, and depends u…                     When a graphene layer is stressed, the strain alters the phase an electron accumulates hopping between sites in a way that can be modeled as arising from a pseudo-magnetic vector potential. We examine the case of an oscillating graphene ribbon and explore a new effect - an oscillating resistance arising from an oscillating quantum Hall effect. This pseudo-magneto-resistance is large, and depends upon the frequency and the amplitude of the acoustic oscillations. We calculate the consequences for experiment.",https://arxiv.org/pdf/1612.08041
,,"Asymptotic Symmetries, Holography and Topological Hair",Rashmish K. Mishra,Raman Sundrum,"Asymptotic symmetries of AdS$_4$ quantum gravity and gauge theory are derived by coupling the dual CFT$_3$ to Chern-Simons gauge theory and 3D gravity in a ""probe"" large-level limit. The infinite-dimensional symmetries are shown to arise when one is restricted to boundary subspaces with effectively two-dimensional geometry. A canonical example of such a restriction occurs within the 4D subregion d…                     Asymptotic symmetries of AdS$_4$ quantum gravity and gauge theory are derived by coupling the dual CFT$_3$ to Chern-Simons gauge theory and 3D gravity in a ""probe"" large-level limit. The infinite-dimensional symmetries are shown to arise when one is restricted to boundary subspaces with effectively two-dimensional geometry. A canonical example of such a restriction occurs within the 4D subregion described by a Wheeler-DeWitt wavefunctional of AdS$_4$ quantum gravity. An AdS$_4$ analog of Minkowski ""super-rotation"" asymptotic symmetry is probed by 3D Einstein gravity, yielding CFT$_2$ structure, via AdS$_3$ foliation of AdS$_4$ and the AdS$_3$/CFT$_2$ correspondence. The maximal asymptotic symmetry is however probed by 3D conformal gravity. Both 3D gravities have Chern-Simons formulation, manifesting their topological character. Chern-Simons structure is also shown to be emergent in the Poincare patch of AdS$_4$, as soft/boundary limits of 4D gauge theory, rather than ""put in by hand"", with a finite effective Chern-Simons level. Several of the considerations of asymptotic symmetry structure are found to be simpler for AdS$_4$ than for Mink$_4$, such as non-zero 4D particle masses, 4D non-perturbative ""hard"" effects, and consistency with unitarity. The last of these, in particular, is greatly simplified, because in some set-ups the time dimension is explicitly shared by each level of description: Lorentzian AdS$_4$, CFT$_3$ and CFT$_2$. The CFT$_2$ structure clarifies the sense in which the infinite asymptotic charges constitute a useful form of ""hair"" for black holes and other complex 4D states. An AdS$_4$ (holographic) ""shadow"" analog of Minkowski ""memory"" effects is derived. Lessons from AdS$_4$ provide hints for better understanding Minkowski asymptotic symmetries, the 3D structure of its soft limits, and Minkowski holography.",https://arxiv.org/pdf/1706.09080
,,High Saturation Power Josephson Parametric Amplifier with GHz Bandwidth,O. Naaman,R. J. Epstein,"We present design and simulation of a Josephson parametric amplifier with bandwidth exceeding 1.6 GHz, and with high saturation power approaching -90 dBm at a gain of 22.8 dB. An improvement by a factor of roughly 50 in bandwidth over the state of the art is achieved by using well-established impedance matching techniques. An improvement by a factor of roughly 100 in saturation power over the stat…                     We present design and simulation of a Josephson parametric amplifier with bandwidth exceeding 1.6 GHz, and with high saturation power approaching -90 dBm at a gain of 22.8 dB. An improvement by a factor of roughly 50 in bandwidth over the state of the art is achieved by using well-established impedance matching techniques. An improvement by a factor of roughly 100 in saturation power over the state of the art is achieved by implementing the Josephson nonlinear element as an array of rf-SQUIDs with a total of 40 junctions. WRSpice simulations of the circuit are in excellent agreement with the calculated gain and saturation characteristics.",https://arxiv.org/pdf/1711.07549
,,Small-scale structure and the Lyman-$α$ forest baryon acoustic oscillation feature,Christopher M. Hirata,Christopher M. Hirata,"…can be shifted. Here we investigate this sensitivity using a suite of hydrodynamic simulations of small regions of the intergalactic medium with a range of box sizes and physics assumptions; each simulation starts from initial conditions at the kinematic decoupling era (z~1059), undergoes a discrete change from neutral gas to ionized gas thermal evolution at…                     The baryon-acoustic oscillation (BAO) feature in the Lyman-$α$ forest is one of the key probes of the cosmic expansion rate at redshifts z~2.5, well before dark energy is believed to have become dynamically significant. A key advantage of the BAO as a standard ruler is that it is a sharp feature and hence is more robust against broadband systematic effects than other cosmological probes. However, if the Lyman-$α$ forest transmission is sensitive to the initial streaming velocity of the baryons relative to the dark matter, then the BAO peak position can be shifted. Here we investigate this sensitivity using a suite of hydrodynamic simulations of small regions of the intergalactic medium with a range of box sizes and physics assumptions; each simulation starts from initial conditions at the kinematic decoupling era (z~1059), undergoes a discrete change from neutral gas to ionized gas thermal evolution at reionization (z~8), and is finally processed into a Lyman-$α$ forest transmitted flux cube. Streaming velocities suppress small-scale structure, leading to less violent relaxation after reionization. The changes in the gas distribution and temperature-density relation at low redshift are more subtle, due to the convergent temperature evolution in the ionized phase. The change in the BAO scale is estimated to be of the order of 0.12% at z=2.5; some of the major uncertainties and avenues for future improvement are discussed. The predicted streaming velocity shift would be a subdominant but not negligible effect (of order $0.26σ$) for the upcoming DESI Lyman-$α$ forest survey, and exceeds the cosmic variance floor. It is hoped that this study will motivate additional theoretical work on the magnitude of the BAO shift, both in the Lyman-$α$ forest and in other tracers of large-scale structure.",https://arxiv.org/pdf/1707.03358
,,Nonlocal Quantum Effective Actions in Weyl-Flat Spacetimes,Teresa Bautista,Atish Dabholkar,"Virtual massless particles in quantum loops lead to nonlocal effects which can have interesting consequences, for example, for primordial magnetogenesis in cosmology or for computing finite $N$ corrections in holography. We describe how the quantum effective actions summarizing these effects can be computed efficiently for Weyl-flat metrics by integrating the Weyl anomaly or, equivalently, the loc…                     Virtual massless particles in quantum loops lead to nonlocal effects which can have interesting consequences, for example, for primordial magnetogenesis in cosmology or for computing finite $N$ corrections in holography. We describe how the quantum effective actions summarizing these effects can be computed efficiently for Weyl-flat metrics by integrating the Weyl anomaly or, equivalently, the local renormalization group equation. This method relies only on the local Schwinger-DeWitt expansion of the heat kernel and allows for a re-summation of leading large logarithms in situations where the Weyl factor changes by several e-foldings. As an illustration, we obtain the quantum effective action for the Yang-Mills field coupled to massless matter, and the self-interacting massless scalar field. Our action reduces to the nonlocal action obtained using the Barvinsky-Vilkovisky covariant perturbation theory in the regime $R^{2} \ll \nabla^{2} R $ for a typical curvature scale $R$, but has a greater range of validity effectively re-summing the covariant perturbation theory to all orders in curvatures. In particular, it is applicable also in the opposite regime $R^{2} \gg \nabla^{2} R$, which is often of interest in cosmology.",https://arxiv.org/pdf/1711.00135
,,Recurrence due to periodic multi-soliton fission in the defocusing nonlinear Schrodinger equation,Guo Deng,Stefano Trillo,"…from a harmonic excitation by analysing the case of the semiclassical defocusing nonlinear Schrodinger equation, which models nonlinear wave propagation in a variety of physical settings. Using a suitable Wentzel-Kramers-Brillouin approach to the solution of the associated scattering problem we accurately predict, in full analytical way, the number and the f…                     We address the degree of universality of the Fermi-Pasta-Ulam recurrence induced by multisoliton fission from a harmonic excitation by analysing the case of the semiclassical defocusing nonlinear Schrodinger equation, which models nonlinear wave propagation in a variety of physical settings. Using a suitable Wentzel-Kramers-Brillouin approach to the solution of the associated scattering problem we accurately predict, in full analytical way, the number and the features (amplitude and velocity) of soliton-like excitations emerging post-breaking, as a function of the dispersion smallness parameter. This also permits to predict and analyse the near-recurrences, thereby inferring the universal character of the mechanism originally discovered for the Korteweg-deVries equation. We show, however, that important differences exist between the two models, arising from the different scaling rules obeyed by the soliton velocities.",https://arxiv.org/pdf/1711.00134
,,Explanation of the intriguing quantum phenomenon of the off-resonant cavity mode emission,Santiago Echeverri-Arteaga,Edgar A. Gómez,"…transition induced by the phonon-mediated coupling. Our findings are in perfect agreement with previous reported experimental results and for the first time the fundamental physics behind this quantum phenomenon is understood.                     We theoretically investigate the unexpected occurrence of an extra emission peak that has been experimentally observed in off-resonant studies of cavity QED systems. Our results within the Markovian master equation approach successfully explain why the central peak arises, and how it reveals that the system is suffering a dynamical phase transition induced by the phonon-mediated coupling. Our findings are in perfect agreement with previous reported experimental results and for the first time the fundamental physics behind this quantum phenomenon is understood.",https://arxiv.org/pdf/1711.00132
,,Entanglement detection via atomic deflection,Carlos Eduardo Máximo,Miled Hassan Youssef Moussa,"We report on criteria to detect entanglement between the light modes of two crossed optical cavities by analyzing the transverse deflection patterns of an atomic beam. The photon exchange between the modes and the atoms occurs around the overlapping nodes of associated standing waves, which generates the two-dimensional (2D) version of the Optical Stern-Gerlach (OSG) effect. In this optical cross-…                     We report on criteria to detect entanglement between the light modes of two crossed optical cavities by analyzing the transverse deflection patterns of an atomic beam. The photon exchange between the modes and the atoms occurs around the overlapping nodes of associated standing waves, which generates the two-dimensional (2D) version of the Optical Stern-Gerlach (OSG) effect. In this optical cross-cavity setup, we show that the discrete signatures of the fields states, left in the momentum distribution of the deflected atoms, may reveal entanglement for a certain class of two-mode states. For a single photon, we present the possibility of quantifying entanglement by the rotation of the momentum distribution. For a larger number of photons, we demonstrate that quantum interference precludes the population of specific momentum states revealing maximum entanglement between the light modes.",https://arxiv.org/pdf/1703.03675
,,Weakly coupled conformal gauge theories on the lattice,Zoltan Fodor,Chik Him Wong,"Results are reported for the beta-function of weakly coupled conformal gauge theories on the lattice, SU(3) with Nf=14 fundamental and Nf=3 sextet fermions. The models are chosen to be close to the upper end of the conformal window where perturbation theory is reliable hence a fixed point is expected. The study serves as a test of how well lattice methods perform in the weakly coupled conformal ca…                     Results are reported for the beta-function of weakly coupled conformal gauge theories on the lattice, SU(3) with Nf=14 fundamental and Nf=3 sextet fermions. The models are chosen to be close to the upper end of the conformal window where perturbation theory is reliable hence a fixed point is expected. The study serves as a test of how well lattice methods perform in the weakly coupled conformal cases. We also comment on the 5-loop beta-function of two models close to the lower end of the conformal window, SU(3) with Nf=12 fundamental and Nf=2 sextet fermions.",https://arxiv.org/pdf/1711.00130
,,User Environment Detection with Acoustic Sensors Embedded on Mobile Devices for the Recognition of Activities of Daily Living,Ivan Miguel Pires,Francisco Flórez-Revuelta,"The detection of the environment where user is located, is of extreme use for the identification of Activities of Daily Living (ADL). ADL can be identified by use of the sensors available in many off-the-shelf mobile devices, including magnetic and motion, and the environment can be also identified using acoustic sensors. The study presented in this paper is divided in two parts: firstly, we discu…                     The detection of the environment where user is located, is of extreme use for the identification of Activities of Daily Living (ADL). ADL can be identified by use of the sensors available in many off-the-shelf mobile devices, including magnetic and motion, and the environment can be also identified using acoustic sensors. The study presented in this paper is divided in two parts: firstly, we discuss the recognition of the environment using acoustic sensors (i.e., microphone), and secondly, we fuse this information with motion and magnetic sensors (i.e., motion and magnetic sensors) for the recognition of standing activities of daily living. The recognition of the environments and the ADL are performed using pattern recognition techniques, in order to develop a system that includes data acquisition, data processing, data fusion, and artificial intelligence methods. The artificial intelligence methods explored in this study are composed by different types of Artificial Neural Networks (ANN), comparing the different types of ANN and selecting the best methods to implement in the different stages of the system developed. Conclusions point to the use of Deep Neural Networks (DNN) with normalized data for the identification of ADL with 85.89% of accuracy, the use of Feedforward neural networks with non-normalized data for the identification of the environments with 86.50% of accuracy, and the use of DNN with normalized data for the identification of standing activities with 100% of accuracy.",https://arxiv.org/pdf/1711.00124
,,Predicting variation of DNA shape preferences in protein-DNA interaction in cancer cells with a new biophysical model,Kirill Batmanov,Junbai Wang,"DNA shape readout is an important mechanism of target site recognition by transcription factors, in addition to the sequence readout. Several models of transcription factor-DNA binding which consider DNA shape have been developed in recent years. We present a new biophysical model of protein-DNA interaction by considering the DNA shape features, which is based on a neighbour dinucleotide dependenc…                     DNA shape readout is an important mechanism of target site recognition by transcription factors, in addition to the sequence readout. Several models of transcription factor-DNA binding which consider DNA shape have been developed in recent years. We present a new biophysical model of protein-DNA interaction by considering the DNA shape features, which is based on a neighbour dinucleotide dependency model BayesPI2. The parameters of the new model are restricted to a subspace spanned by the 2-mer DNA shape features, which allowing a biophysical interpretation of the new parameters as position-dependent preferences towards certain values of the features. Using the new model, we explore the variation of DNA shape preferences in several transcription factors across cancer cell lines and cellular conditions. We find evidence of DNA shape variations at FOXA1 binding sites in MCF7 cells after treatment with steroids. The new model is useful for elucidating finer details of transcription factor-DNA interaction. It may be used to improve the prediction of cancer mutation effects in the future.",https://arxiv.org/pdf/1711.10547
